"","DOW.Open","DOW.High","DOW.Low","DOW.Close","DOW.Volume","DOW.Adjusted"
"1",52.93,53.23,52.57,53.150002,4576200,51.063423
"2",52.91,53.080002,52.549999,52.860001,4376000,50.784807
"3",52.740002,53.09,51.799999,52,7582800,49.958568
"4",51.939999,52.700001,51.919998,52.400002,6378800,50.342866
"5",52.150002,52.540001,51.869999,52.299999,5496000,50.24679
"6",52.139999,52.380001,51.82,52,4069600,49.958568
"7",51.900002,52.610001,51.740002,52.52,4314800,50.458154
"8",52.279999,52.549999,51.93,52.07,4928100,50.02582
"9",52.169998,52.68,52,52.470001,7984800,50.410118
"10",52.669998,52.959999,52.389999,52.889999,5781800,50.813628
"11",52.779999,53.349998,52.310001,52.32,5455700,50.266005
"12",52.34,52.860001,52.32,52.610001,5193800,50.544621
"13",52.389999,52.450001,51.630001,52.119999,6305800,50.428514
"14",51.759998,51.830002,50.869999,51.610001,7483200,49.935067
"15",51.630001,51.830002,51.099998,51.459999,5720800,49.789934
"16",51.549999,51.73,51.27,51.540001,5349700,49.867339
"17",51.689999,51.98,51.509998,51.52,4355700,49.847988
"18",51.759998,52.189999,51.709999,52.049999,3161500,50.360786
"19",51.619999,51.77,51.16,51.23,5189000,49.567399
"20",51.27,51.299999,50.490002,50.990002,5910100,49.33519
"21",51.16,51.400002,50.889999,51.200001,5483400,49.538374
"22",50.619999,51.59,50.48,51.119999,5943800,49.460968
"23",51.200001,51.68,51.009998,51.599998,4126400,49.92539
"24",51.939999,51.939999,51.450001,51.5,5172900,49.828637
"25",51.75,52.060001,51.310001,51.540001,4636900,49.867339
"26",51.720001,52.209999,51.630001,52.07,5332200,50.380138
"27",51.700001,52.130001,51.549999,51.650002,4480600,49.97377
"28",51.720001,52.16,51.52,51.689999,6451000,50.012469
"29",51.700001,52.049999,51.599998,51.860001,5408300,50.176954
"30",52.080002,52.360001,51.790001,52.299999,6010500,50.602673
"31",53.040001,54.279999,52.310001,53.889999,14033400,52.141072
"32",53.98,54.119999,53.400002,53.84,8479300,52.092695
"33",53.639999,54.139999,53.5,53.709999,7353400,51.966913
"34",53.84,54.150002,53.57,53.700001,8733000,51.957239
"35",53.889999,54.029999,53.439999,53.450001,5504800,51.715353
"36",53.720001,53.799999,52.259998,52.48,7250800,50.776832
