"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"1",49.98,51.529999,49.619999,51.5,1715800,22.930586
"2",50.57,51.810001,50.57,51.709999,1537600,23.024088
"3",52.400002,53.07,51.849998,52,1741200,23.153213
"4",52.560001,53.490002,51.860001,53.459999,1630400,23.803283
"5",53.220001,53.740002,52.990002,53.68,1631600,23.90124
"6",53.650002,54.259998,53.07,54.200001,2695400,24.132772
"7",54.290001,54.98,53.900002,54.669998,3060400,24.34204
"8",55.130001,55.849998,54.259998,54.720001,2790200,24.364304
"9",54.860001,55.110001,52.639999,52.82,2657400,23.518321
"10",52.779999,53.610001,52.330002,53.380001,1597400,23.767664
"11",53.07,53.32,51.860001,52.02,1609200,23.162118
"12",52.119999,52.490002,51.459999,52.25,2804200,23.264526
"13",52.330002,52.860001,51.709999,52.18,1178400,23.233358
"14",51.02,51.48,50.049999,50.490002,2342600,22.48088
"15",50.189999,51.509998,50.09,50.189999,2828400,22.347302
"16",50.349998,50.900002,48.41,49.82,2592600,22.182559
"17",49.98,50,48.830002,49.220001,1772400,21.915407
"18",50.040001,50.400002,48.310001,48.830002,2210400,21.741758
"19",48.75,50.360001,48.529999,50.209999,3676800,22.356207
"20",50.549999,51.380001,50.349998,51.200001,3171000,22.79701
"21",51.369999,52.18,50.970001,52.07,2687800,23.18438
"22",52.119999,52.73,51.849998,52.619999,2861800,23.42927
"23",51.48,52.84,50.25,50.439999,7806600,22.458616
"24",50.669998,51.009998,49.619999,50.799999,3663000,22.618907
"25",50.869999,50.950001,49.34,49.779999,4020800,22.164748
"26",49.799999,49.799999,47.540001,47.66,4719200,21.22081
"27",47.84,48.290001,47.360001,47.689999,2995000,21.234167
"28",47.220001,48.349998,47.049999,48.25,2451400,21.48351
"29",48.41,49.049999,47.290001,47.490002,2650400,21.145117
"30",48.150002,49.400002,48.150002,48.869999,2584600,21.759567
"31",48.75,49.439999,48.389999,49.360001,2275800,21.977742
"32",49.290001,49.970001,48.880001,49.950001,1634800,22.240442
"33",50,50,48.700001,49.130001,1946800,21.875334
"34",49.189999,49.389999,48.470001,48.880001,1853400,21.76402
"35",49.130001,49.369999,48.189999,48.970001,2220400,21.804093
"36",48.360001,49.25,48.209999,49.080002,1701200,21.853071
"37",49.880001,50.099998,49.119999,50.009998,2273600,22.267156
"38",49.919998,50.330002,49.66,50.139999,2007800,22.32504
"39",50.439999,51.200001,50.389999,51.110001,2328200,22.756937
"40",50.91,51.240002,50.400002,51.220001,1012800,22.805915
"41",50.549999,51.220001,50,51.16,1907000,22.779199
"42",51.349998,51.57,50.91,51.369999,1221600,22.872702
"43",51,51.32,49.91,50.66,1247200,22.556572
"44",49.540001,49.639999,48.349998,48.439999,2336800,21.568107
"45",47.810001,48.68,47.799999,48.459999,1276800,21.577013
"46",48.220001,48.549999,47.919998,48.16,1069000,21.443437
"47",48,48.48,47.5,48.130001,1022800,21.43008
"48",48.810001,50.310001,48.59,49.93,2215600,22.231537
"49",49.220001,49.950001,48.75,49.639999,1544400,22.289912
"50",49.209999,49.48,47.529999,47.82,2650600,21.472675
"51",47.630001,48.080002,46.950001,48.009998,2490000,21.55799
"52",48.380001,48.669998,47.41,47.509998,2023000,21.333475
"53",47,47,45.759998,46.27,3044800,20.776677
"54",45.82,46.16,45.450001,45.900002,4116600,20.610536
"55",46.07,46.330002,45.459999,45.490002,3484800,20.426433
"56",45.709999,46,44.720001,45.959999,3190600,20.637476
"57",45.689999,46.060001,45.09,45.09,1642600,20.24682
"58",45,45.759998,44.639999,45.27,3954400,20.327646
"59",46.23,47.360001,45.709999,47.18,2669400,21.185295
"60",47.049999,49.07,47.049999,48.970001,3297400,21.989062
"61",49.720001,49.91,48.48,49.360001,2495200,22.164183
"62",48.860001,49.240002,48.669998,48.779999,2060800,21.903744
"63",49,49.990002,48.950001,49.700001,2515600,22.316854
"64",50.189999,50.52,49.93,50.32,2187800,22.595253
"65",50.490002,51.110001,50.32,50.919998,1594000,22.864671
"66",51.400002,51.950001,51.169998,51.619999,2367800,23.178993
"67",51.389999,51.959999,51.150002,51.630001,1841400,23.183485
"68",51.25,51.77,50.84,51.689999,2126200,23.210425
"69",51.669998,51.810001,50.900002,51.169998,1850600,22.976929
"70",51.48,51.790001,50.939999,51.540001,10080400,23.143072
"71",51.57,52.290001,51.400002,52.209999,2271200,23.443922
"72",52.110001,52.400002,51.810001,52,1632800,23.349626
"73",52.099998,53.34,51.84,52.18,2886000,23.430451
"74",51.799999,52.619999,51.639999,51.939999,1580000,23.322683
"75",52.73,53.700001,52.450001,53.41,1957000,23.98276
"76",53.360001,53.380001,52.720001,52.860001,1464000,23.735793
"77",53.189999,53.959999,52,53.799999,2336400,24.157882
"78",53.5,53.93,53.209999,53.650002,1461000,24.090528
"79",54.18,54.580002,52.759998,53.189999,1957000,23.883972
"80",53.599998,53.869999,52.900002,53.380001,1708400,23.969289
"81",53.349998,53.799999,52.16,52.639999,1382400,23.637005
"82",53.459999,54.41,53.400002,53.990002,1911200,24.243199
"83",53.93,54.380001,53.540001,53.959999,1338400,24.229727
"84",54.09,54.240002,53.209999,53.689999,1483600,24.108488
"85",53.849998,54.77,53.43,54.52,1576400,24.481185
"86",54.509998,54.919998,54.080002,54.75,1813400,24.584462
"87",53.540001,53.75,51.470001,52.040001,6834000,23.367587
"88",52.360001,53.060001,52.049999,52.75,3319200,23.686399
"89",52.82,53.119999,52.34,52.709999,2401400,23.668437
"90",53.279999,53.279999,51.669998,52.099998,3705800,23.394528
"91",52.02,52.380001,51.700001,51.889999,1338800,23.300232
"92",51.459999,52.209999,51.169998,51.669998,2548400,23.201445
"93",51.869999,52.59,51.82,52.400002,1336000,23.529239
"94",52.549999,53.119999,52.16,52.900002,1628600,23.753755
"95",53.669998,53.689999,52.400002,52.900002,994200,23.753755
"96",53.27,53.57,52.580002,52.619999,1505400,23.628025
"97",52.34,53.09,51.830002,52.5,1193000,23.574141
"98",51.990002,52.27,50.849998,51.310001,2390600,23.039795
"99",51.580002,51.919998,50.900002,51.360001,1534400,23.062246
"100",51.290001,51.700001,50.73,51.48,1043600,23.116129
"101",51.68,52.450001,51.529999,51.759998,1679000,23.241857
"102",52.169998,53.130001,51.869999,53.099998,1524800,23.843559
"103",53.119999,53.34,52.23,53.220001,1754800,23.897444
"104",53.900002,53.990002,53.139999,53.75,2164600,24.13543
"105",53.93,54,53.48,53.740002,1011800,24.130941
"106",53.610001,53.77,53.009998,53.18,1447200,23.879483
"107",53.169998,53.349998,52.650002,53,1358600,23.798657
"108",52.990002,53.599998,52.650002,53.439999,1014000,23.99623
"109",52.91,53.450001,52.5,53.360001,1094000,23.960308
"110",53.07,53.150002,51.869999,52.330002,1478600,23.497807
"111",52.639999,53.360001,51.93,52.639999,1477000,23.637005
"112",52.240002,52.529999,50.939999,51.220001,2298600,22.999382
"113",51.119999,51.68,50.900002,51.549999,1713000,23.147561
"114",52.09,52.950001,52,52.029999,2093200,23.363096
"115",52.099998,52.57,51.599998,52.470001,1680000,23.560671
"116",52.049999,52.990002,51.84,52.869999,1498400,23.931847
"117",52.279999,52.68,51.880001,52.650002,1688800,23.832264
"118",52.919998,54.27,52.919998,53.990002,1935800,24.438821
"119",53.459999,54.220001,53.310001,54.02,912400,24.4524
"120",53.5,54.18,53,53.98,1433600,24.434293
"121",53.240002,54.119999,53.110001,53.52,2039800,24.226073
