"","PX.Open","PX.High","PX.Low","PX.Close","PX.Volume","PX.Adjusted"
"1",77.230003,78.43,77.019997,77.650002,2333400,70.080443
"2",76.769997,77.839996,76.769997,77.779999,1470200,70.197768
"3",78.239998,78.639999,77.410004,77.5,2204400,69.945064
"4",78.010002,79.330002,77.580002,79.300003,2778100,71.569598
"5",78.589996,80.269997,78.589996,80.089996,1927900,72.28258
"6",80.5,80.790001,79.169998,80.739998,2112400,72.869218
"7",80.989998,81.709999,80.790001,81.169998,2069800,73.2573
"8",81.980003,83.269997,81.309998,81.830002,2150200,73.852965
"9",81.760002,82.440002,80.529999,80.550003,1776000,72.697744
"10",80.5,81.040001,79.099998,80.199997,2269200,72.381858
"11",79.889999,80.790001,78.989998,79.099998,2435700,71.38909
"12",79.449997,80,78.459999,79.449997,2239200,71.70497
"13",79.720001,79.970001,78.839996,79.349998,1151600,71.614719
"14",78.489998,78.709999,76.940002,77.370003,1706000,69.82774
"15",77.410004,77.970001,75.849998,75.989998,1917000,68.582262
"16",75.720001,77.239998,75.699997,76.769997,2202400,69.286224
"17",76.970001,77.349998,76.169998,76.879997,1478800,69.385501
"18",77.639999,77.989998,76.529999,77.459999,1572700,69.908963
"19",77.669998,79.949997,77.550003,79.910004,1672600,72.120134
"20",80.589996,81.080002,80.059998,81.080002,1690800,73.176077
"21",81.050003,81.800003,80.730003,81.330002,1476700,73.401706
"22",81.059998,81.75,80.739998,81.5,1239700,73.555132
"23",82.120003,83.870003,81.849998,83.489998,1926500,75.351139
"24",81.330002,83.190002,81.059998,82.830002,2610400,74.755482
"25",82.989998,83.150002,81.690002,82.809998,1602700,74.737427
"26",82.379997,82.379997,80.690002,80.959999,2026900,73.067772
"27",81.32,81.480003,80.339996,81.029999,1396700,73.130948
"28",80.239998,82.57,80.089996,82.449997,1731300,74.412521
"29",82.959999,83.25,81.559998,82.360001,1976900,74.331297
"30",83.339996,85.360001,83.07,84.330002,2167000,76.109257
"31",84.279999,85.43,83.870003,85.389999,1373600,77.065923
"32",85.150002,85.989998,85.07,85.650002,1324100,77.300579
"33",86.260002,86.389999,85.449997,85.830002,1358600,77.463032
"34",85.019997,86.720001,85.019997,86.279999,1799100,77.869162
"35",86.949997,87.25,85.419998,85.809998,2140800,77.444978
"36",84.839996,87.410004,84.82,86.82,2005100,78.356522
"37",87.739998,88.25,87.589996,87.870003,2507400,79.304168
"38",87.360001,88.209999,87.309998,87.800003,1293600,79.240992
"39",88.120003,88.599998,87.68,88.449997,1213700,79.827622
"40",88.040001,88.650002,87.800003,88.559998,1253700,79.9269
"41",87.75,88.610001,86.739998,87.760002,1203400,79.20489
"42",88.010002,88.889999,88.010002,88.779999,1100900,80.125455
"43",88.010002,89,87.519997,88.690002,1546100,80.044231
"44",87.029999,87.690002,86.43,86.860001,1843700,78.392624
"45",86.410004,87.580002,85.800003,87.309998,1871900,78.798754
"46",86.959999,87.580002,86.68,87.290001,1514900,78.780706
"47",86.779999,88.589996,85.989998,87.980003,1622500,79.403445
"48",88.940002,89.739998,88.410004,89.139999,1823100,80.450361
"49",89.010002,89.559998,88.599998,89.089996,1555800,80.405233
"50",88.720001,88.779999,87.510002,88.110001,2283500,79.52077
"51",87.269997,88.470001,87.269997,88.349998,1584500,79.737372
"52",88.68,88.970001,87.43,87.489998,1251000,78.961207
"53",85.449997,87.730003,85.449997,86.18,2430800,77.778912
"54",85.709999,86.379997,84.519997,85.93,1834200,77.553283
"55",86.309998,87,85.410004,85.580002,1187100,77.237403
"56",86.099998,87.279999,85.260002,87.279999,1766900,78.771679
"57",87.07,87.5,85.940002,85.940002,1152600,77.56231
"58",85.5,86.440002,85.120003,86.029999,1631100,77.643533
"59",87.18,88.75,86.540001,87.099998,2879300,78.609226
"60",86.790001,86.790001,85.239998,86.150002,3778600,78.155629
"61",86.919998,87.339996,86.370003,87.239998,1535000,79.144478
"62",86.82,87.220001,86.25,86.43,1181000,78.409645
"63",86.639999,87.150002,86.440002,86.580002,1420700,78.545727
"64",87.400002,87.519997,86.489998,86.57,1500900,78.536653
"65",86.620003,86.900002,86.389999,86.449997,1011600,78.427786
"66",87.059998,87.559998,86.830002,87.360001,1256700,79.253345
"67",87.360001,88.470001,87.220001,87.879997,1362400,79.725088
"68",87.620003,88.260002,87.150002,88.199997,1327600,80.015393
"69",88.080002,89.129997,87.809998,89.040001,1285600,80.777448
"70",88.879997,88.940002,88.269997,88.360001,1716200,80.160549
"71",88.660004,88.849998,88.190002,88.620003,1600000,80.396424
"72",88.57,88.730003,87.650002,88.080002,1852200,79.906533
"73",87.919998,88.279999,87.550003,88.050003,1446800,79.879318
"74",87.830002,88.5,86.870003,88.029999,1486200,79.86117
"75",88.699997,90.089996,88.43,90.089996,1672400,81.730008
"76",89.650002,90.5,89.650002,89.809998,1250800,81.475992
"77",90,90.720001,88.57,90.43,1407900,82.038461
"78",90.18,90.25,89.510002,89.730003,918800,81.403421
"79",89.989998,91,89.459999,90.260002,1523900,81.884238
"80",90.860001,90.989998,89.449997,89.650002,1727500,81.330843
"81",89.290001,89.800003,88.639999,89.040001,1040300,80.777448
"82",89.910004,91.220001,89.900002,91.190002,1606800,82.727938
"83",91.050003,91.690002,90.610001,91.18,972000,82.718864
"84",91.459999,91.480003,89.910004,90.209999,1027300,81.838875
"85",90.510002,90.980003,90.269997,90.620003,989300,82.210832
"86",90.629997,91,90.25,90.449997,799800,82.056602
"87",89.739998,91,89.330002,90.860001,893200,82.428559
"88",90.93,91.93,90.82,91.900002,1860600,83.372052
"89",91.610001,91.870003,90.25,90.709999,1556200,82.292477
"90",91.309998,91.68,90.120003,90.709999,1446100,82.292477
"91",90.709999,91.139999,90.25,90.779999,680600,82.355981
"92",89.5,89.949997,88.599998,89.410004,1362100,81.113116
"93",89.660004,91.43,88.599998,91.010002,1181000,82.564641
"94",91.169998,92.860001,90.129997,92.760002,1938700,84.152248
"95",92.529999,92.949997,91.790001,92.18,830900,83.626068
"96",92.699997,94.300003,92.699997,93.769997,1185600,85.068519
"97",93.349998,93.5,92.389999,93.5,1612900,84.823577
"98",92.160004,92.160004,89.599998,90.510002,2791700,82.111039
"99",91.849998,91.849998,90.260002,90.919998,1277200,82.482989
"100",90.720001,91.720001,90.279999,91.339996,1342300,82.864013
"101",91.800003,92.050003,91,91.339996,1091200,82.864013
"102",92.029999,92.57,91.529999,92.309998,1437400,83.744002
"103",92.620003,92.620003,91.230003,92.239998,1184900,83.680498
"104",93.199997,93.199997,91.480003,92.290001,1994000,83.725861
"105",92.599998,93.059998,92.330002,92.940002,1452200,84.315545
"106",92.519997,93.949997,92.5,93.620003,1150800,84.932444
"107",93.300003,93.989998,91.57,92.019997,1272900,83.480912
"108",92.010002,93.150002,91.290001,93.089996,1015700,84.45162
"109",92.07,93.32,92,92.82,936400,84.206678
"110",92.419998,92.440002,90.900002,91.580002,950500,83.081747
"111",91.730003,92.589996,91.459999,91.510002,777100,83.018243
