"","FLR.Open","FLR.High","FLR.Low","FLR.Close","FLR.Volume","FLR.Adjusted"
"1",44.700001,45.650002,44.439999,45.59,1875600,43.21434
"2",45.09,45.849998,44.779999,45.610001,1500600,43.233298
"3",46.490002,47.040001,45.700001,45.810001,1443800,43.422877
"4",46.369999,47.380001,45.91,47.299999,1704600,44.835232
"5",46.68,47.41,46.450001,47.029999,1620900,44.579301
"6",47.099998,47.099998,45.700001,46.18,1769500,43.773596
"7",46.310001,46.759998,46.18,46.470001,1531300,44.048485
"8",47.060001,47.720001,45.959999,46.32,1449200,43.9063
"9",46.290001,46.919998,45.279999,45.419998,1320000,43.053197
"10",45.369999,45.459999,44.200001,45.080002,1409700,42.730917
"11",44.900002,44.900002,43.48,43.810001,1983500,41.527095
"12",44.060001,44.900002,43.849998,44.360001,4777600,42.048435
"13",44.580002,44.599998,43.41,43.459999,2103800,41.195331
"14",42.700001,43.419998,41.68,42.220001,4266200,40.019949
"15",42.209999,43.34,42.009998,42.5,2448100,40.285357
"16",42.169998,42.470001,41.200001,41.759998,2684400,39.583916
"17",42.439999,42.439999,41.209999,41.759998,1695000,39.583916
"18",42.549999,43.040001,41.799999,42.560001,2527700,40.342232
"19",42.630001,44.43,42.630001,44.400002,2539700,42.086351
"20",44.73,45.34,44.529999,45.200001,2464700,42.844663
"21",45.23,45.66,44.599998,45.41,1513700,43.043719
"22",45.220001,45.220001,44.419998,44.669998,1640500,42.342278
"23",45.189999,46.130001,45.049999,45.740002,2706700,43.356525
"24",45.439999,45.5,44.43,44.98,2359700,42.636126
"25",44.77,44.950001,43.599998,44.389999,2259600,42.07687
"26",44.060001,44.060001,42.669998,42.790001,1940100,40.560246
"27",43.080002,43.349998,42.310001,43.099998,1446700,40.85409
"28",42.299999,44.450001,42.259998,44.380001,2204600,42.067393
"29",44.84,45.119999,43.740002,43.959999,1782400,41.669277
"30",44.860001,46.349998,44.75,46.02,2608700,43.621933
"31",46.110001,47.099998,45.560001,47.040001,1881600,44.588782
"32",47.240002,47.959999,46.619999,47.849998,2462200,45.356571
"33",49.169998,49.75,48.040001,49.099998,5788100,46.541435
"34",49.009998,49.130001,48.25,48.59,3004900,46.058012
"35",48.990002,49.200001,47.57,47.970001,2295900,45.470321
"36",47.139999,48.5,46.860001,48.290001,1643500,45.773646
"37",49.240002,49.93,48.950001,49.610001,2305900,47.024861
"38",49.330002,49.57,48.709999,48.970001,1400000,46.418212
"39",49.040001,49.360001,48.349998,49.220001,2049000,46.655184
"40",48.880001,49.279999,48.310001,48.860001,1286400,46.313943
"41",48.240002,48.93,47.82,48.75,1176500,46.209674
