"","THC.Open","THC.High","THC.Low","THC.Close","THC.Volume","THC.Adjusted"
"1",4.94,5.04,4.84,5.04,3825200,20.16
"2",4.98,5.07,4.94,5.07,2687000,20.280001
"3",5.15,5.23,4.97,5.06,3197500,20.24
"4",5.24,5.28,5.03,5.2,6073000,20.799999
"5",5.14,5.22,5.09,5.16,1718300,20.639999
"6",5.13,5.18,4.93,5.02,3538200,20.08
"7",5.02,5.04,4.85,4.9,4055100,19.6
"8",4.97,4.99,4.71,4.74,3140800,18.959999
"9",4.74,4.83,4.68,4.7,2132100,18.799999
"10",4.71,4.84,4.6,4.77,2996800,19.08
"11",4.76,4.8,4.6,4.62,3071200,18.48
"12",4.64,4.72,4.58,4.71,2185000,18.84
"13",4.72,4.82,4.65,4.66,3097500,18.639999
"14",4.59,4.59,4.39,4.43,4129000,17.719999
"15",4.41,4.54,4.34,4.34,3624000,17.360001
"16",4.47,4.47,4.05,4.31,5186900,17.24
"17",4.31,4.38,4.06,4.15,2767600,16.6
"18",4.27,4.45,4.24,4.32,3955100,17.280001
"19",4.31,4.37,4.21,4.33,2069000,17.32
"20",4.37,4.5,4.31,4.48,2533100,17.92
"21",4.48,4.6,4.41,4.57,1345500,18.280001
"22",4.58,4.62,4.46,4.58,2201700,18.32
"23",4.61,4.66,4.51,4.56,1579000,18.24
"24",4.54,4.65,4.46,4.58,1617300,18.32
"25",4.57,4.78,4.52,4.75,2027100,19
"26",4.71,4.72,4.47,4.49,1862800,17.959999
"27",4.51,4.59,4.47,4.55,1455800,18.200001
"28",4.49,4.61,4.43,4.6,1360700,18.4
"29",4.63,4.63,4.28,4.3,2147700,17.200001
"30",4.38,4.42,4.26,4.28,2248600,17.120001
"31",4.29,4.46,4.28,4.41,1376200,17.639999
"32",4.44,4.6,4.39,4.56,1817000,18.24
"33",4.63,4.65,4.43,4.47,1627400,17.879999
"34",4.46,4.5,4.34,4.38,2088400,17.52
"35",4.37,4.6,4.37,4.41,3100600,17.639999
"36",4.36,4.65,4.34,4.6,2348000,18.4
"37",4.64,4.78,4.57,4.59,2999300,18.360001
"38",4.6,4.6,4.25,4.39,5999100,17.559999
"39",4.4,4.67,4.4,4.62,2932500,18.48
"40",4.59,4.64,4.44,4.44,2301800,17.76
"41",4.42,4.47,4.36,4.42,1451900,17.68
"42",4.44,4.54,4.37,4.52,802200,18.08
"43",4.45,4.58,4.42,4.5,1501300,18
"44",4.41,4.46,4.28,4.3,2015200,17.200001
"45",4.26,4.34,4.18,4.2,1596600,16.799999
"46",4.21,4.26,4.17,4.17,1078000,16.68
"47",4.14,4.23,4.1,4.13,1186900,16.52
"48",4.15,4.31,4.15,4.24,1663700,16.959999
"49",4.23,4.31,4.18,4.27,1004400,17.08
"50",4.23,4.28,4.15,4.17,1418900,16.68
"51",4.15,4.26,4.12,4.23,1154500,16.92
"52",4.2,4.27,4.1,4.11,1187600,16.440001
"53",4.05,4.07,4,4.01,1370800,16.040001
"54",4,4.12,3.95,4.08,814800,16.32
"55",4.1,4.14,3.98,3.99,1158000,15.96
"56",4.01,4.11,3.95,4.11,1179100,16.440001
"57",4.09,4.12,4,4,715600,16
"58",4,4.06,3.92,3.92,1328600,15.68
"59",3.95,4.26,3.93,4.26,2239700,17.040001
"60",4.26,4.41,4.26,4.33,1777900,17.32
"61",4.45,4.5,4.3,4.37,1904300,17.48
"62",4.33,4.35,4.18,4.24,1663600,16.959999
"63",4.23,4.29,4.12,4.19,1730100,16.76
"64",4.21,4.42,4.21,4.42,2283000,17.68
"65",4.43,4.48,4.35,4.46,1604300,17.84
"66",4.49,4.5,4.28,4.35,4103200,17.4
"67",4.32,4.38,4.26,4.33,1470500,17.32
"68",4.33,4.49,4.26,4.43,2288900,17.719999
"69",4.43,4.43,4.32,4.35,1228900,17.4
"70",4.37,4.46,4.18,4.22,5393600,16.879999
"71",4.23,4.45,4.21,4.34,6015100,17.360001
"72",4.34,4.36,4.21,4.21,2408500,16.84
"73",4.23,4.28,4.15,4.27,2227500,17.08
"74",4.25,4.3,4.15,4.18,1105000,16.719999
"75",4.22,4.27,4.19,4.23,2084500,16.92
"76",4.22,4.38,4.16,4.36,1692200,17.440001
"77",4.32,4.42,4.25,4.42,2266500,17.68
"78",4.37,4.7,4.36,4.59,4263300,18.360001
"79",4.61,4.77,4.59,4.72,3040800,18.879999
"80",4.72,4.74,4.51,4.53,2594800,18.120001
"81",4.52,4.57,4.51,4.53,1017800,18.120001
"82",4.51,4.59,4.41,4.51,3074900,18.040001
"83",4.46,4.5,4.43,4.48,1189200,17.92
"84",4.5,4.51,4.39,4.42,1310000,17.68
"85",4.4,4.65,4.37,4.62,1725200,18.48
"86",4.62,4.65,4.42,4.49,1495800,17.959999
"87",4.45,4.58,4.4,4.56,1654100,18.24
"88",4.59,4.66,4.53,4.56,1203900,18.24
"89",4.57,4.61,4.4,4.43,1982300,17.719999
"90",4.5,4.54,4.4,4.42,1302300,17.68
"91",4.43,4.5,4.4,4.47,1382300,17.879999
"92",4.42,4.47,4.37,4.4,1756300,17.6
"93",4.39,4.44,4.32,4.34,1469400,17.360001
