"","BTU.Open","BTU.High","BTU.Low","BTU.Close","BTU.Volume","BTU.Adjusted"
"1",38.779999,39.849998,38.52,39.669998,7458700,37.250706
"2",39.23,39.970001,38.849998,39.779999,4721600,37.353998
"3",40.810001,41.130001,39.959999,40.049999,5463700,37.607532
"4",40.07,42.049999,40,41.77,6739700,39.222638
"5",41.16,41.709999,40.669998,41.25,4293700,38.73435
"6",41.529999,41.610001,40.07,40.630001,5314000,38.152162
"7",40.77,41.360001,40.220001,41.259998,5702500,38.743739
"8",42.66,43.5,41.849998,42.32,6788800,39.739096
"9",42.34,42.529999,40.759998,40.889999,4586200,38.396305
"10",40.68,43.150002,40.540001,42.830002,7167900,40.217995
"11",42.810001,43.040001,41.939999,42.41,8063900,39.823607
"12",42.810001,44.330002,42.509998,43.549999,10993200,40.894083
"13",43.419998,43.799999,42.02,42.490002,5393400,39.89873
"14",40.849998,41.34,39,39.330002,7145900,36.931444
"15",39.799999,40.5,38.880001,39.130001,6092200,36.743641
"16",39.389999,40.48,38.080002,39.490002,5847000,37.081686
"17",39.990002,40.27,38.540001,38.990002,4013200,36.612179
"18",40.07,41.639999,39.75,40.259998,6033400,37.804724
"19",40.330002,42.169998,40.130001,41.959999,5768200,39.40105
"20",42.73,42.860001,41.5,42.720001,4253600,40.114703
"21",41.950001,43.5,41.950001,43.290001,3807400,40.649941
"22",42.950001,43.84,42.290001,42.75,2829900,40.142872
"23",43.5,43.73,42.599998,43.130001,3759100,40.499699
"24",42.759998,43.849998,42.610001,43.18,2795900,40.546649
"25",42.860001,43.369999,42.16,43.200001,3579200,40.565429
"26",42.669998,43.189999,41.619999,41.810001,5125400,39.2602
"27",42.25,42.82,41.73,42.310001,4964700,39.729707
"28",42.139999,43.119999,41.369999,43.060001,7980400,40.433968
"29",43.75,44.490002,42.48,43.029999,6204500,40.405795
"30",44.02,45.560001,43.419998,45.23,6352700,42.471628
"31",45.23,45.529999,44.630001,45.43,4473700,42.659431
"32",45.290001,45.73,44.880001,45.470001,3503300,42.696993
"33",45.82,45.939999,44.080002,44.650002,4432900,41.927001
"34",44.450001,45.43,44.360001,44.799999,3635400,42.067851
"35",45.25,45.950001,44.189999,44.779999,3811800,42.049071
"36",44.080002,45.41,43.759998,45.150002,3329900,42.396509
"37",45.77,48.82,45.459999,48.389999,8530300,45.438914
"38",48.169998,48.639999,47.549999,48.060001,5880600,45.129041
"39",48.119999,48.98,47.490002,48.810001,5072000,45.900155
"40",48.459999,48.759998,47.830002,48.470001,3505700,45.580424
"41",47.84,48.84,47.630001,48.639999,4191900,45.740287
"42",49.130001,49.25,47.950001,48.630001,2474800,45.730885
"43",47.700001,47.700001,46.669998,47.490002,4458700,44.658848
"44",46.459999,46.75,45.43,45.84,3701600,43.107212
"45",44.900002,46.509998,44.66,46.02,3188400,43.276482
"46",45.84,46.369999,45.540001,45.630001,2115000,42.909732
"47",45.52,46.299999,45.330002,45.799999,1976000,43.069596
"48",46.610001,47.299999,46,46.740002,3661500,43.95356
"49",46.779999,47.099998,46.139999,46.549999,3073700,43.774884
"50",46.349998,47.080002,45.220001,45.73,3618900,43.003769
"51",45.220001,45.279999,44.049999,44.919998,3736800,42.242057
"52",45.380001,46.150002,44.849998,44.900002,4527900,42.223252
"53",43.990002,44.18,43.040001,43.209999,3914000,40.634001
"54",42.799999,42.799999,40.790001,42.23,7073400,39.712425
"55",42.66,42.810001,41.25,41.57,3726900,39.091771
"56",42.099998,43.299999,41.220001,43.18,4024200,40.60579
"57",43.029999,43.400002,41.889999,41.91,2827400,39.411502
"58",41.849998,43.669998,41.630001,42.790001,5302000,40.239041
"59",43.75,44.98,43.549999,44.84,4414700,42.166828
"60",44.889999,45.860001,44.310001,45.610001,3367300,42.890924
"61",46.290001,46.830002,45.919998,46.09,3410200,43.342308
"62",45.369999,45.860001,44.619999,45.509998,3032700,42.796884
"63",45.639999,47.25,45.639999,46.310001,3723800,43.549194
"64",46.970001,47.200001,45.259998,45.799999,3630100,43.069596
"65",46.150002,46.689999,45.91,45.990002,2592900,43.248271
"66",46.43,47.18,46.259998,46.790001,2975300,44.000578
"67",46.330002,46.990002,45.880001,46.439999,2584500,43.671441
"68",45.98,46.099998,45.369999,45.970001,3395500,43.229463
"69",45.75,47.5,45.700001,47.240002,4182300,44.423752
"70",47.279999,47.349998,46.16,47,4701700,44.198058
"71",47.02,48.400002,46.869999,48.130001,4894500,45.260693
"72",48.200001,48.360001,47.470001,48.150002,4070300,45.279501
"73",48.240002,49.5,47.970001,48.209999,4698200,45.335922
"74",47.5,48.080002,47,47.549999,2962400,44.715268
"75",48.27,49.529999,48.119999,49.189999,3708600,46.257498
"76",49.459999,49.52,48.630001,48.779999,2476200,45.871941
"77",48.959999,49.169998,47.84,48.990002,3869300,46.069424
"78",49.02,49.639999,48.700001,49.220001,3655600,46.285712
"79",49.900002,49.939999,48.470001,49.009998,5869800,46.088229
"80",49.66,51.25,49.66,50.889999,6416100,47.856152
"81",50.580002,50.889999,49.080002,49.450001,4511500,46.502
"82",49.470001,50.900002,48.759998,50.459999,6433200,47.451786
"83",50.43,51.34,50.130001,50.700001,4888500,47.67748
"84",51.150002,51.16,49.91,50.849998,4685100,47.818536
"85",50.389999,52,50.349998,51.759998,3776400,48.674285
"86",51.73,52.189999,51.259998,51.529999,3073600,48.457997
"87",50.950001,51.02,49.860001,50.84,3542700,47.809133
"88",51.43,52.189999,51.119999,51.77,4020700,48.683691
"89",51.689999,51.98,51,51.529999,3289500,48.457997
"90",51.939999,52.380001,50.630001,51.779999,5176000,48.693093
"91",51.09,51.709999,50.700001,51.529999,4331800,48.457997
"92",50.759998,52.73,49.84,50.529999,9195200,47.517613
"93",50.650002,52.560001,50.650002,51.57,4682500,48.495613
"94",51.939999,52.400002,50.98,51.650002,6395900,48.570846
"95",51.950001,52,50.830002,51.040001,3452700,47.997211
"96",51.790001,52.830002,51.709999,52.43,4694700,49.304344
"97",52.220001,52.860001,51.700001,52.73,3685500,49.586459
"98",52.52,52.75,51.48,52.599998,4245300,49.464208
"99",53,53.43,52.150002,52.93,3500500,49.774536
"100",52.860001,53.119999,52.299999,52.900002,2280500,49.746326
"101",53.380001,54.66,53.290001,53.91,3732500,50.696113
"102",54.439999,54.5,53.5,54.220001,4041600,51.068152
"103",54.310001,54.84,52.75,53.900002,5090600,50.766754
"104",56.029999,56.939999,55.73,56.790001,5466800,53.488756
"105",57.380001,58.099998,57.18,57.75,5511700,54.39295
"106",58.02,59.470001,57.75,58.900002,4460000,55.476101
"107",59.470001,59.900002,57.52,57.799999,4556200,54.440042
"108",57.490002,58.27,56.560001,58.02,5162600,54.647255
"109",57.669998,59.919998,57.41,59.759998,4394300,56.286105
"110",58.91,59.400002,57.299999,57.650002,4132900,54.298764
"111",58.23,58.599998,57.130001,57.82,3809100,54.45888
"112",57.279999,58.119999,55.299999,55.82,6448700,52.575142
"113",56,57.18,55.540001,56.52,3163100,53.234451
"114",57.919998,58.779999,57.619999,57.919998,5387600,54.553066
"115",57.439999,59.34,56.389999,59.240002,5517700,55.796336
"116",59.009998,59.27,57.880001,59.189999,3200800,55.74924
"117",58.27,58.349998,57.130001,57.349998,3973300,54.016201
"118",57.91,58.869999,57.740002,58.68,3366500,55.268888
"119",58,58.459999,57.639999,58.34,1294600,54.948653
"120",57.810001,58.990002,57.75,58.82,3325200,55.40075
"121",57.740002,59.459999,57.700001,58.810001,4155000,55.391332
"122",60,61.099998,59.950001,60.880001,4266800,57.341001
"123",60.700001,62.98,60.700001,62.720001,5080100,59.074041
"124",62.41,64.18,62.41,63.279999,5096800,59.601486
"125",63.5,63.849998,62.880001,63.150002,3532800,59.479045
"126",64.339996,64.489998,61.400002,61.470001,5221400,57.896704
"127",61.509998,61.830002,60.400002,60.689999,4222100,57.162044
"128",61.93,62.400002,61.139999,61.619999,2715700,58.037983
"129",62,62.52,60.880001,61.98,2996100,58.377056
"130",63.310001,63.330002,61.790001,61.849998,3354200,58.254612
"131",62.169998,62.310001,61.049999,61.419998,2663100,57.849608
"132",61.25,61.709999,60.299999,60.490002,2858300,56.973673
"133",60.830002,61.34,60.169998,60.720001,2712500,57.190303
"134",60.830002,60.98,60.27,60.529999,3483500,57.011345
"135",61.32,62.25,61.099998,61.959999,3254500,58.358218
"136",63.009998,63.939999,62.610001,63.740002,3795300,60.034748
"137",63.950001,64.489998,63.09,63.580002,2238500,59.884049
"138",63.380001,63.860001,63.16,63.599998,1255500,59.902883
"139",63.599998,63.669998,62.77,63.189999,1357100,59.516717
"140",63.32,63.990002,62.93,63.150002,1925100,59.479045
"141",63.330002,63.669998,62.599998,63.450001,2540200,59.761605
"142",63.23,64.379997,63.200001,64.209999,2526400,60.477424
"143",64.150002,64.589996,63.75,63.98,2605100,60.260795
"144",64.919998,66.07,64.269997,64.519997,4698900,60.769401
"145",65.029999,65.779999,61.540001,62.830002,6645800,59.177647
"146",62.68,63.43,61.490002,62.790001,5202600,59.139972
"147",63.470001,63.470001,61.189999,61.599998,3983400,58.019145
"148",61.209999,62.48,60.889999,62.07,5241500,58.461825
"149",61.950001,62.139999,61,61.540001,3166300,57.962635
"150",62.200001,64.290001,61.939999,63.34,5576300,59.657999
"151",64.339996,64.360001,62.099998,63.110001,4080200,59.44137
"152",63.790001,63.889999,62.360001,63.849998,4082500,60.138351
"153",63.529999,63.82,61.75,62.009998,6002800,58.405311
"154",62.240002,62.32,61.290001,61.900002,2861300,58.301709
"155",62.110001,62.25,59.650002,59.959999,4349000,56.47448
"156",59.580002,59.849998,58.189999,59.310001,5100600,55.862267
"157",59.560001,59.950001,57.860001,58.169998,5225000,54.788533
"158",57.450001,59.860001,57.439999,59.290001,4923200,55.843429
"159",60.599998,61.73,58.82,60.5,7052600,56.98309
"160",60.560001,63.5,60.52,63.139999,5848700,59.469624
"161",62.98,63.189999,61.529999,62.380001,3572800,58.753805
"162",61.740002,61.82,60.110001,61.09,6126400,57.538793
"163",61.709999,63.639999,61.529999,63.419998,5841500,59.733347
"164",63.720001,65.269997,63.450001,64.919998,6056400,61.146151
"165",64.489998,65.300003,63.700001,64.360001,4709300,60.618706
"166",64.139999,64.949997,62.860001,64.790001,3668200,61.02371
