"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"1",38.700001,40.119999,38.669998,40.029999,11784300,37.230404
"2",39.490002,40.200001,39.330002,40.130001,7805300,37.323413
"3",40.470001,40.68,39.869999,39.889999,8484900,37.100196
"4",40.459999,41.639999,40.18,41.59,10114800,38.681303
"5",41.439999,42.509998,41.189999,42.34,11552200,39.37885
"6",42.700001,42.73,41.450001,42.060001,8013300,39.118434
"7",42.139999,42.259998,41.669998,42.029999,9287500,39.09053
"8",42.759998,43.139999,42.029999,42.599998,12073600,39.620665
"9",42.639999,42.919998,41.84,41.939999,9893800,39.006824
"10",41.990002,42.48,41.119999,42.169998,9454100,39.220738
"11",41.82,42.34,40.939999,41.060001,9669400,38.188371
"12",41.509998,42.669998,40.939999,42.669998,23429700,39.685769
"13",42.52,42.740002,41.810001,42.110001,8870400,39.164936
"14",41.490002,41.540001,39.75,40.09,12254700,37.286209
"15",39.82,40.599998,39.580002,39.700001,8975500,37.090014
"16",39.549999,40.080002,38.419998,39.48,8747200,36.884477
"17",39.810001,39.889999,38.91,39.419998,6928100,36.82842
"18",40.16,40.330002,38.740002,39.209999,10308600,36.632227
"19",39.07,41.220001,39.02,41.150002,12115800,38.444688
"20",41.700001,42.18,41.41,42.119999,11511600,39.350915
"21",42.110001,42.610001,41.93,42.580002,8292400,39.780676
"22",42.400002,42.959999,42.25,42.830002,6981200,40.014241
"23",43.27,44.43,43.259998,44.169998,8623100,41.266142
"24",43.950001,44.169998,43.27,43.700001,7158100,40.827043
"25",43.970001,44,42.34,43.43,9838400,40.574793
"26",43.099998,43.169998,41.25,41.380001,14179100,38.659567
"27",41.5,41.84,40.459999,41.580002,7378200,38.846419
"28",40.869999,42.209999,40.759998,42.060001,7589600,39.294862
"29",42.310001,42.650002,41,41.150002,9540600,38.444688
"30",41.869999,43.490002,41.759998,43.189999,10875300,40.35057
"31",43.139999,44.869999,42.57,44.790001,15324900,41.845384
"32",44.810001,45.549999,44.73,45.43,9498300,42.443308
"33",45.59,45.68,44.299999,44.549999,10163600,41.621161
"34",44.599998,44.98,44.200001,44.580002,6399900,41.649191
"35",44.759998,45,44,44.560001,7116900,41.630505
"36",43.740002,44.889999,43.740002,44.639999,7333600,41.705244
"37",45.009998,45.200001,44.779999,44.990002,9555200,42.032236
"38",44.84,45,44.41,44.599998,7290400,41.667873
"39",44.75,45.040001,43.59,44.110001,15944000,41.210089
"40",43.77,44,42.889999,43.220001,12460900,40.3786
"41",42.560001,43.5,42.490002,43.5,8052700,40.640191
"42",43.810001,44.049999,43.369999,43.75,5085000,40.873756
"43",43.189999,44.220001,43.09,44.09,8527900,41.191403
"44",43.310001,43.389999,42.849998,42.959999,10159600,40.135691
"45",42.509998,42.959999,42.049999,42.150002,8676100,39.378945
"46",42.099998,42.32,41.720001,41.73,6453400,38.986555
"47",41.529999,41.959999,41.279999,41.540001,7156200,38.809048
"48",41.880001,42.009998,41.470001,41.740002,8561600,38.9959
"49",41.73,41.889999,41.119999,41.689999,8703300,38.949184
"50",41.450001,41.529999,40.900002,40.959999,9474700,38.267177
"51",41,41.07,40.060001,40.759998,7878500,38.080325
"52",40.950001,40.950001,40.169998,40.200001,5156000,37.557143
"53",39.720001,39.98,39.240002,39.57,7564200,36.96856
"54",39.389999,39.939999,39.139999,39.799999,6409300,37.183439
"55",40.02,40.380001,39.459999,39.73,6936400,37.118041
"56",40,40.93,39.560001,40.91,7486500,38.220465
"57",40.689999,40.919998,39.869999,39.889999,5103100,37.267522
"58",39.73,40.389999,39.470001,39.869999,8312900,37.248836
"59",40.549999,41.349998,40.34,41.07,7717300,38.369946
"60",41.27,41.279999,40.060001,40.880001,11712500,38.192438
"61",41.299999,41.830002,41.220001,41.799999,10887700,39.051953
"62",41.48,41.529999,40.040001,40.09,9780700,37.454374
"63",40.330002,40.66,39.759998,40.07,9172200,37.435688
"64",40.75,41.060001,40.07,40.689999,7918400,38.014927
"65",40.720001,40.720001,39.990002,40.189999,7389300,37.547798
"66",40.75,41.41,40.650002,41.220001,8239600,38.510086
"67",40.959999,41.139999,40.16,40.380001,9461300,37.72531
"68",40.099998,40.939999,39.799999,40.849998,7993000,38.164408
"69",40.790001,41.119999,40.580002,40.959999,7239800,38.267177
"70",41.040001,41.48,40.650002,41.369999,29144100,38.650222
"71",41.560001,43.290001,41.560001,43.119999,11751400,40.285172
"72",43.16,43.380001,42.66,42.779999,9322100,39.967525
"73",42.509998,43.130001,42.150002,42.790001,11372900,39.976869
"74",42.360001,43,42.209999,42.360001,8687600,39.575138
"75",42.91,43.23,42.68,43.130001,10150200,40.294517
"76",43.25,43.799999,42.740002,43.439999,9272600,40.584134
"77",43.5,43.869999,42.959999,43.689999,6560500,40.817699
"78",43.5,43.93,42.779999,43.009998,7914500,40.182404
"79",43.349998,43.5,41.98,42.029999,12293300,39.266832
"80",42.369999,42.560001,41.549999,41.779999,10672000,39.033268
"81",41.59,41.790001,38.68,39.049999,38499800,36.482746
"82",39.299999,39.330002,37.330002,38.279999,68417100,35.763367
"83",38.459999,38.68,37.919998,38.02,21059200,35.688276
"84",38.18,38.18,37.77,37.82,18598200,35.500541
"85",37.880001,38.169998,37.59,37.990002,13339900,35.660117
"86",38.169998,38.450001,37.900002,37.939999,10914000,35.613181
"87",37.939999,38.759998,37.900002,38.540001,19989300,36.176386
"88",38.919998,39.860001,38.740002,39.259998,19502400,36.852226
"89",39.119999,39.610001,39.009998,39.439999,14643600,37.021187
"90",39.75,39.799999,39.029999,39.09,14884400,36.692654
"91",39.009998,39.580002,38.75,39.549999,9998000,37.124442
"92",39.389999,40.369999,39.150002,39.310001,18099000,36.899163
"93",39.5,39.939999,39.360001,39.73,9239800,37.293403
"94",39.759998,40.349998,39.619999,40.27,12490900,37.800286
"95",40.400002,40.490002,38.959999,39.029999,17323300,36.636332
"96",39.09,39.68,38.880001,39.299999,13588100,36.889774
"97",39.139999,40.25,39.139999,40.099998,12277500,37.64071
"98",39.689999,40.790001,39.619999,40.68,15618200,38.185141
"99",40.91,41.59,40.860001,41.220001,14756000,38.692024
"100",41.09,41.48,40.91,41.459999,9598200,38.917303
"101",41.490002,41.970001,41.349998,41.560001,8457400,39.011173
"102",41.950001,42.59,41.84,42.389999,9220100,39.790268
"103",42.389999,42.549999,41.459999,42.07,11769800,39.489893
"104",42.630001,43.919998,42.25,43.73,13169100,41.048087
"105",43.610001,44.27,43.610001,44.07,13061800,41.367236
"106",43.68,44,43.360001,43.900002,7666200,41.207663
"107",43.98,44.049999,43.189999,43.360001,9341600,40.70078
"108",43.529999,43.66,43.040001,43.560001,9757300,40.888515
"109",43.330002,43.540001,43.009998,43.349998,5849600,40.691391
"110",42.93,43.32,42.389999,42.700001,7077300,40.081257
"111",42.950001,43.369999,42.639999,42.700001,6154700,40.081257
"112",42.299999,42.650002,41.490002,41.93,11415900,39.35848
"113",41.900002,42.09,41.41,41.41,9637400,38.870371
"114",41.889999,42.52,41.889999,42.25,8071400,39.658854
"115",42.16,42.799999,41.970001,42.75,7480900,40.12819
"116",42.470001,42.75,41.860001,42.220001,7627200,39.630695
"117",41.669998,42.189999,41.599998,41.950001,10406800,39.377254
"118",42.509998,43.060001,42.34,43,6727300,40.362858
"119",42.5,42.630001,42.27,42.27,3e+06,39.677628
"120",42.080002,43.439999,41.869999,43.330002,10380700,40.672621
"121",42.75,43.400002,42.619999,43.220001,9393300,40.569367
"122",43.84,44.48,43.689999,44.299999,15223000,41.58313
"123",44.41,45.07,44.25,44.98,10935900,42.221426
"124",44.66,45,44.419998,44.880001,9132700,42.127561
"125",44.66,45.060001,44.549999,45,6598900,42.2402
"126",45.459999,45.639999,44.740002,44.779999,9696300,42.033691
"127",44.900002,45.650002,44.799999,45.630001,8570200,42.831564
"128",45.790001,45.900002,45.290001,45.810001,7024100,43.000525
"129",45.759998,46.349998,45.75,46.259998,8216100,43.422924
"130",46.470001,46.779999,46.139999,46.369999,8300100,43.526178
"131",46.290001,46.77,46.080002,46.200001,5773000,43.366606
"132",46.09,46.779999,45.799999,46.119999,7353200,43.291511
"133",46.080002,46.41,44.540001,44.57,15388500,41.836571
"134",44.490002,44.84,43.860001,44.009998,17301100,41.310914
"135",43.580002,44.860001,41.25,42.5,31617900,39.893522
"136",42.970001,43.400002,42.799999,43.23,10308500,40.578752
"137",43.27,43.389999,42.619999,42.810001,7719100,40.184512
"138",43.029999,43.349998,42.57,42.77,4830600,40.146964
"139",42.720001,43.25,42.610001,43.049999,4485000,40.409791
"140",43,43.110001,42.549999,42.790001,4017400,40.165738
"141",42.799999,42.98,42.619999,42.860001,3253700,40.231444
"142",42.759998,42.830002,42.439999,42.509998,4374400,39.902907
"143",42.509998,42.970001,42.400002,42.919998,3464000,40.287762
"144",43.299999,43.619999,43.110001,43.400002,7633300,40.738328
"145",44.41,44.41,43.200001,43.950001,14066300,41.254596
"146",44.09,45.16,43.91,45.040001,10655300,42.45161
"147",45.380001,45.599998,44.450001,44.73,6347100,42.159424
"148",44.93,44.959999,44,44.360001,6387800,41.810688
"149",44.200001,44.639999,44.009998,44.459999,5468000,41.90494
"150",44.98,45.439999,44.799999,45.040001,5924200,42.45161
"151",45.439999,45.790001,44.830002,45,8155000,42.413908
"152",44.810001,45.360001,44.75,45.060001,6362700,42.470461
"153",44.93,46.560001,44.900002,46.25,10660800,43.592072
"154",46.029999,46.709999,45.799999,46.369999,8069500,43.705175
"155",45.200001,45.700001,44.799999,45.240002,14420900,42.640117
"156",44.740002,45.650002,44.709999,45.27,7581200,42.668392
"157",45.759998,46.200001,45.509998,46,8736100,43.356439
