"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"1",6.779954,7.029954,6.719955,6.839954,5256900,25.539108
"2",6.839954,7.18995,6.759954,7.109951,7615500,26.547227
"3",7.169953,7.18995,6.949954,6.959953,4639000,25.987163
"4",7.009951,7.169953,6.989954,7.059952,7605700,26.360543
"5",6.939953,7.169953,6.939953,7.109951,5671200,26.547227
"6",7.099952,7.18995,6.989954,7.18995,5730900,26.845931
"7",7.169953,7.259951,7.119952,7.259951,6651400,27.1073
"8",7.30995,7.37995,7.129953,7.169953,3765700,26.771263
"9",7.14995,7.319951,7.129953,7.199952,5287000,26.883273
"10",7.179952,7.35995,7.059952,7.299951,6645600,27.256651
"11",7.22995,7.239951,6.959953,6.989954,5186800,26.099182
"12",7.019952,7.169953,6.949954,7.069951,6232000,26.397875
"13",7.129953,7.18995,7.049954,7.069951,4539600,26.397875
"14",7.009951,7.009951,6.729956,6.799954,7313200,25.389758
"15",6.789955,6.869955,6.499956,6.519956,11106000,24.344296
"16",6.539956,6.579955,6.359957,6.519956,8795600,24.344296
"17",6.529957,6.549955,6.399957,6.479956,7831600,24.194945
"18",6.589954,6.679955,6.489955,6.539956,6148900,24.418973
"19",6.549955,6.819954,6.549955,6.789955,4546900,25.352424
"20",6.839954,6.889952,6.749953,6.849953,3544100,25.576442
"21",6.839954,6.849953,6.699955,6.759954,5123400,25.240405
"22",6.729956,7.049954,6.729956,6.989954,7078300,26.099182
"23",7.079952,7.279951,7.009951,7.209952,8291200,26.920614
"24",7.26995,7.559949,7.259951,7.459949,11791600,27.854057
"25",7.599949,7.749947,7.459949,7.719948,12742500,28.824842
"26",7.679948,7.799947,7.429951,7.499949,8618600,28.003409
"27",7.639949,8.029947,7.509951,7.919947,12691000,29.571601
"28",7.829946,8.099946,7.639949,7.999946,15248600,29.870303
"29",7.979946,8.009947,7.779947,7.909948,10062200,29.534266
"30",7.969945,7.999946,7.699948,7.789946,9530600,29.086202
"31",7.749947,7.879947,7.58995,7.749947,10177500,28.936852
"32",7.749947,7.909948,7.679948,7.859947,9148700,29.347572
"33",7.919947,7.979946,7.719948,7.739948,7668300,28.899518
"34",7.719948,7.759948,7.619949,7.679948,8641700,28.675491
"35",7.689949,8.029947,7.60995,7.60995,19276600,28.41413
"36",7.599949,7.639949,7.449948,7.489948,13104900,27.966067
"37",7.599949,7.689949,7.519949,7.619949,7615000,28.451463
"38",7.54995,7.679948,7.479949,7.619949,8459300,28.451463
"39",7.849946,8.179945,7.769949,8.059946,18302800,30.09433
"40",8.029947,8.179945,7.849946,8.019946,8626700,29.944977
"41",7.949947,8.019946,7.829946,7.999946,5263800,29.870303
"42",8.049945,8.119945,7.959946,7.979946,4165000,29.795628
"43",7.909948,8.079945,7.839947,8.039946,7271200,30.019655
"44",7.889946,7.889946,7.659948,7.699948,6052000,28.750167
"45",7.60995,8.099946,7.579949,8.019946,13283800,29.944977
"46",7.979946,8.019946,7.619949,7.639949,10691800,28.52614
"47",7.60995,7.859947,7.579949,7.809948,6415400,29.160888
"48",7.859947,7.899946,7.749947,7.799947,4127200,29.123545
"49",7.789946,7.879947,7.759948,7.789946,4000300,29.086202
"50",7.809948,7.809948,7.469951,7.539949,8259400,28.15276
"51",7.509951,7.629947,7.429951,7.479949,8723900,27.928733
"52",7.519949,7.599949,7.409949,7.43995,7037400,27.779382
"53",7.329949,7.559949,7.289952,7.459949,5294800,27.854057
"54",7.37995,7.539949,7.37995,7.499949,4696900,28.003409
"55",7.519949,7.559949,7.449948,7.499949,5950000,28.003409
"56",7.619949,7.749947,7.479949,7.679948,6947000,28.675491
"57",7.639949,7.669947,7.499949,7.519949,5115300,28.078084
"58",7.519949,7.599949,7.489948,7.519949,6467600,28.078084
"59",7.64995,7.839947,7.64995,7.729949,6712700,28.862184
"60",7.729949,7.899946,7.659948,7.859947,5043900,29.347572
"61",7.939946,8.009947,7.849946,7.939946,4501600,29.646276
"62",7.929948,7.929948,7.739948,7.829946,3877000,29.235553
"63",7.839947,8.029947,7.789946,7.979946,5852600,29.795628
"64",8.029947,8.139945,7.919947,7.979946,4212500,29.795628
"65",7.939946,8.079945,7.869948,7.919947,5931000,29.571601
"66",7.999946,8.299944,7.969945,8.279944,7679200,30.915764
"67",8.229945,8.319943,8.119945,8.249946,4696600,30.803756
"68",8.249946,8.379943,8.119945,8.359943,6709900,31.214466
"69",8.359943,8.419943,8.239944,8.409942,5165600,31.401152
"70",8.449944,8.489941,8.249946,8.379943,6438100,31.28914
"71",8.399943,8.449944,8.299944,8.449944,5069300,31.550512
"72",8.399943,8.459943,8.289943,8.329945,4657100,31.102458
"73",8.299944,8.369942,8.219945,8.289943,3558100,30.953098
