"","CAM.Open","CAM.High","CAM.Low","CAM.Close","CAM.Volume","CAM.Adjusted"
"1",35.52,36.59,35.290001,36.389999,4678500,36.389999
"2",35.82,36.650002,35.540001,36.43,2475800,36.43
"3",37.009998,37.439999,35.700001,35.790001,3564200,35.790001
"4",36.099998,37.509998,35.889999,37.380001,5046100,37.380001
"5",36.669998,38.360001,36.669998,37.5,3995200,37.5
"6",37.459999,38.040001,37.189999,37.599998,3581400,37.599998
"7",37.57,38.049999,37.240002,37.970001,4372200,37.970001
"8",38.650002,38.740002,36.93,37.23,4256300,37.23
"9",37.25,37.34,35.650002,35.77,4750100,35.77
"10",35.759998,35.880001,34.889999,35.459999,3891300,35.459999
"11",35.25,35.599998,34.529999,34.630001,3261400,34.630001
"12",34.560001,35.779999,34.150002,35.549999,4693100,35.549999
"13",35.700001,35.900002,34.509998,34.560001,2834000,34.560001
"14",33.439999,33.860001,32.630001,32.77,5436400,32.77
"15",32.93,33.439999,32.389999,32.52,7532000,32.52
"16",32.450001,32.959999,31.42,32.41,7498700,32.41
"17",32.650002,33.299999,32.029999,32.529999,3872000,32.529999
"18",33.119999,33.68,31.74,32.209999,5613300,32.209999
"19",32.23,34.07,32.23,34.060001,6686500,34.060001
"20",34.619999,35.139999,34.099998,35.02,4996200,35.02
"21",35.110001,35.419998,34.689999,35.200001,2591500,35.200001
"22",35.220001,35.389999,34.32,34.900002,3302100,34.900002
"23",35.639999,36,35.110001,35.25,6539000,35.25
"24",34.75,35.540001,34.68,34.970001,5258300,34.970001
"25",34.98,35.330002,34.049999,35.130001,4126500,35.130001
"26",36.049999,36.09,34.380001,34.75,7553700,34.75
"27",35.02,36.540001,34.990002,36.389999,4806600,36.389999
"28",35.849998,38.060001,35.759998,37.93,4924500,37.93
"29",38.25,38.43,36.59,36.970001,4390600,36.970001
"30",37.549999,38.27,37.43,38.07,3163500,38.07
"31",37.630001,38.59,37.049999,38.580002,3188000,38.580002
"32",38.610001,39.209999,38.400002,39.209999,2839600,39.209999
"33",39.360001,39.509998,38.630001,39.09,4041500,39.09
"34",38.900002,39.34,38.369999,38.900002,3353900,38.900002
"35",39.299999,39.880001,38.610001,39.560001,3565600,39.560001
"36",38.860001,39.860001,38.580002,39.59,3060100,39.59
"37",40.380001,41.200001,40.380001,40.630001,3835000,40.630001
"38",40.169998,40.57,39.48,39.639999,6037700,39.639999
"39",40.759998,41,38.459999,38.98,8117900,38.98
"40",38.529999,39.529999,38.09,39.490002,4635600,39.490002
"41",38.91,39.610001,38.52,39.07,4061400,39.07
"42",39.41,39.599998,38.490002,38.900002,2671100,38.900002
"43",38.23,38.240002,37.59,38,3714000,38
"44",37.060001,37.060001,36.150002,36.77,5263400,36.77
"45",36.099998,37.290001,35.860001,36.889999,4348200,36.889999
"46",36.689999,38.150002,36.639999,37.939999,4972900,37.939999
"47",37.66,38.580002,37.450001,38.509998,4372300,38.509998
"48",38.970001,39.150002,38.450001,38.68,4544600,38.68
"49",38.450001,38.560001,37.779999,38.189999,2567600,38.189999
"50",37.950001,38.279999,37.200001,37.540001,1813600,37.540001
"51",37.130001,37.419998,36.5,36.84,2768000,36.84
"52",37,37.400002,36.799999,36.880001,2219100,36.880001
"53",36.23,37.330002,35.959999,36.639999,2496100,36.639999
"54",36.459999,36.540001,35.580002,36.330002,2798700,36.330002
"55",36.639999,37.150002,36.16,36.279999,3951300,36.279999
"56",36.619999,38.080002,35.990002,37.970001,3244000,37.970001
